date,location,gndr,age,employ,student,efl,income,os,model,phage,provider,chngpro,chngprowhy,phone+,bothcontract,whodwnld,game,bus/train,socialmed,calendar,messapp,email,music,bank,weather,browse,news,paidapp,learnapp,frequsetxt,frequsecl,frequsefb,frequseem,bought,fillform,pubprofile,bank,nobankacct,infosafe,mnysecr,fees,face2face,atm,,,,
,,0,0,0,2,0,3,0,iphone,3,1,1,,1,,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,2,3,0,1,0,1,1,1,1,1,0,1,,,,
8/4/14,Dwtn Bklyn (City Tech),1,0,4,0,0,3,1,Galaxy,0,2,1,,1,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,3,2,4,0,1,0,1,2,1,1,1,1,0,,,,
7/26/14,Brownsville (Old Timers Day),1,0,4,0,0,3,0,iphone,0,6,1,,1,,0,0,1,0,1,1,1,0,1,1,0,1,1,0,1,2,0,3,1,1,0,1,2,0,1,1,1,1,,,,
7/27/14,NYCHA,0,0,2,2,0,3,1,Galaxy,0,6,0,3,1,,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,3,1,2,0,0,0,1,2,1,1,0,1,1,,,,
7/18/14,Houston street,1,0,2,2,0,3,1,LG GS,,6,1,,1,,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,2,3,4,0,0,0,1,2,1,1,1,1,1,,,,
,,1,0,4,0,1,3,0,iphone,1,7,0,0,0,,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,2,1,3,0,0,0,0,1,1,1,1,1,1,,,,
7/20-7/27,Harlem,0,0,0,2,0,3,1,,1,7,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,3,2,4,0,0,0,2,0,1,1,1,0,1,,,,
,,0,0,1,1,0,3,0,iphone,3,7,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,2,1,3,0,1,0,1,2,1,1,1,0,1,,,,
7/20-7/27,Harlem,0,0,2,2,0,4,1,,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,2,1,3,4,0,1,1,2,1,1,1,1,1,0,,,,
,,0,0,4,0,0,4,1,LG GS,3,1,1,,0,,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,2,4,0,,,1,1,1,1,1,0,1,,,,
7/20-7/27,Harlem,0,0,0,2,0,4,1,iphone,3,1,1,,1,,0,,0,0,0,1,1,0,0,1,1,0,1,0,1,2,3,4,0,1,0,2,1,1,1,1,0,1,,,,
7/18/14,Central Park,0,0,1,0,0,4,0,iphone,1,2,1,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,1,1,2,1,1,1,0,1,,,,
7/18/14,Central Park,1,0,1,0,0,4,0,iphone,3,3,1,,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,1,0,0,2,1,1,1,1,1,,,,
7/26/14,Brownsville (Old Timers Day),1,0,4,0,0,4,1,,,6,0,2,1,,0,0,1,0,1,0,1,0,1,0,1,1,0,1,1,2,0,3,0,1,1,1,2,1,1,1,1,1,,,,
,,1,0,4,0,1,,2,,1,1,0,4,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,3,2,0,0,1,0,0,0,1,1,1,1,,,,
8/4/14,NYCHA,0,0,4,0,0,,0,,,6,1,,1,,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,2,1,3,0,1,1,1,1,1,1,1,1,0,,,,
7/25/14,Harlem,0,1,2,1,0,0,0,iphone,0,0,1,,1,,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,2,1,3,1,1,0,1,2,1,1,1,1,1,,,,
7/20/14,Harlem,1,1,0,1,0,0,1,samsung,1,0,1,,1,,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,3,2,0,1,1,1,2,1,1,1,1,1,,,,
,,1,1,0,1,0,0,1,samsung,1,0,0,1,1,,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,3,2,0,1,1,1,0,1,1,1,1,1,,,,
7/18/14,Central Park,0,1,0,0,0,0,1,,2,0,1,,1,,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,3,2,0,1,1,1,2,1,1,1,1,1,,,,
8/4/14,Dwtn Bklyn (City Tech),0,1,4,0,0,0,1,LG,3,0,1,,1,,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,3,2,4,1,0,0,1,2,1,1,1,1,0,,,,
7/28/14,Rockaway Ave,0,1,1,0,0,0,0,S4,,0,1,,1,,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,3,1,2,1,1,0,1,2,1,1,1,1,0,,,,
7/28/14,Rockaway Ave,1,1,2,2,0,0,1,S4,,0,0,0,1,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,3,1,1,0,1,2,1,1,1,1,1,,,,
8/4/14,NYCHA,1,1,1,0,0,0,0,,,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,3,0,1,0,0,1,1,1,1,1,1,,,,
7/26/14,NYCHA,0,1,0,2,0,0,1,,,0,0,0,1,,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,2,0,3,0,1,1,1,2,1,1,1,1,1,,,,
7/28/14,Online - Facebook ,0,1,2,2,0,0,0,iphone,0,1,0,0,1,,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,2,0,3,1,1,0,1,2,1,1,1,1,1,,,,
7/22/14,Bergen Welfare Center,0,1,1,2,0,0,0,iphone,0,1,0,2,1,,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3,1,2,0,0,0,0,0,2,1,1,1,1,1,,,,
7/18/14,Central Park,0,1,1,1,1,0,0,iphone,2,1,1,,1,,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,2,3,1,1,1,0,2,1,1,1,0,1,,,,
8/9/14,Park Slope (Sunset park market),1,1,2,1,1,0,1,Galaxy,2,1,1,,1,,0,0,1,1,1,1,0,1,0,1,0,0,0,1,3,1,2,4,1,1,1,0,2,1,1,1,0,1,,,,
8/9/14,Park Slope (Sunset park market),0,1,4,0,1,0,1,LG,2,1,0,2,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,2,1,2,4,3,0,1,1,1,2,0,1,1,1,1,,,,
